Title,Date
"45-year-old man tries to rape 4-year-old, arrested","df('15 Jul 2018,07:47',8,'15 Jul 2018,07:47');"
Chemistry tutor booked for rape bid,"df('15 Jul 2018,07:12',3,'15 Jul 2018,07:12');"
"10, including five of family, booked for rape, torture","df('15 Jul 2018,03:41',4,'15 Jul 2018,03:41');"
2 held for woman’s rape at Chhapra short stay home,"df('15 Jul 2018,02:30',3,'15 Jul 2018,02:30');"
12-year-old in police net for rape of 5-year-old,"df('15 Jul 2018,02:00',1,'15 Jul 2018,02:00');"
3-year-old raped by Greater Noida school staffer,"df('15 Jul 2018,01:40',7,'15 Jul 2018,01:40');"
UP woman burned alive in temple after being gang-raped,"df('14 Jul 2018,23:17',2,'14 Jul 2018,23:17');"
"UP: Mother of two 'gang-raped' by five, dragged to temple, burnt alive","df('14 Jul 2018,21:56',10,'14 Jul 2018,21:56');"
"After luring minor girl on facebook, friends gang-rape her in Kotdwar","df('14 Jul 2018,12:23',4,'14 Jul 2018,12:23');"
APCC slams government over rape of 7-yr-old,"df('14 Jul 2018,11:46',1,'14 Jul 2018,11:46');"
"Woman employee drugged, raped by doctor","df('14 Jul 2018,11:36',10,'14 Jul 2018,11:36');"
"BJP’s Jayanti Bhanushali resigns over rape charge, claims innocence","df('14 Jul 2018,10:27',4,'14 Jul 2018,10:27');"
Women raped before & after murder,"df('14 Jul 2018,05:26',3,'14 Jul 2018,05:26');"
Teen rape survivor can abort 21-week foetus: Bombay HC,"df('14 Jul 2018,04:50',7,'14 Jul 2018,04:50');"
Gujarat BJP vice-president quits over rape allegations,"df('14 Jul 2018,04:00',5,'14 Jul 2018,04:00');"
Gujarat BJP vice-president quits over rape charge,"df('14 Jul 2018,02:57',10,'14 Jul 2018,02:57');"
Docs get 3 yrs in prison for wrong autopsy report of rape victim found at police station,"df('13 Jul 2018,23:11',6,'13 Jul 2018,23:11');"
"CBI files fresh chargesheet against MLA Kuldeep Sengar, 3 UP cops for framing rape survivor's father in arms act case","df('13 Jul 2018,20:00',8,'13 Jul 2018,20:00');"
BJP MLA charged by CBI for framing Unnao rape victim's father in false Arms Act case,"df('13 Jul 2018,18:05',9,'13 Jul 2018,18:05');"
One more priest held in rape and molestation case in Kerala,"df('13 Jul 2018,16:37',6,'13 Jul 2018,16:37');"
One more priest held in rape and molestation case in Kerala,"df('13 Jul 2018,16:37',7,'13 Jul 2018,16:37');"
"Will Amit Shah apologise for UP BJP MLA's remark on rape, asks Sena","df('13 Jul 2018,14:12',6,'13 Jul 2018,14:12');"
Hearing in Chinmayanand rape case deferred to September,"df('13 Jul 2018,11:29',7,'13 Jul 2018,11:29');"
Unnao rape survivor's family hopeful of getting justice,"df('13 Jul 2018,09:39',2,'13 Jul 2018,09:39');"
"Haryana to refuse driving, arms licences to rape, molestation accused","df('13 Jul 2018,07:59',1,'13 Jul 2018,07:59');"
"Haryana to refuse driving, arms licences to rape, molestation accused","df('13 Jul 2018,07:59',2,'13 Jul 2018,07:59');"
Chargesheet filed in minor’s rape & murder,"df('13 Jul 2018,04:00',7,'13 Jul 2018,04:00');"
17-year-old girl gang-raped by three,"df('13 Jul 2018,04:00',7,'13 Jul 2018,04:00');"
"Surrogate mother accuses man of rape, cheating","df('13 Jul 2018,04:00',8,'13 Jul 2018,04:00');"
Dalit woman lodges rape complaint,"df('13 Jul 2018,04:00',1,'13 Jul 2018,04:00');"
Haryana to bar rape and molestation accused from availing government facilities except Fair price shop,"df('12 Jul 2018,20:28',3,'12 Jul 2018,20:28');"
Odisha: Youth 'rapes' woman after luring her with job offer,"df('12 Jul 2018,16:10',2,'12 Jul 2018,16:10');"
Best of Class X students in govt schools scrape through MHRD performance survey,"df('12 Jul 2018,07:50',1,'12 Jul 2018,07:50');"
Kathua gang rape-murder accused shifted to Gurdaspur on SC order,"df('12 Jul 2018,07:49',6,'12 Jul 2018,07:49');"
4-year-old girl gang raped in Banda,"df('12 Jul 2018,06:28',1,'12 Jul 2018,06:28');"
Church asks priests facing rape charges in Kerala to surrender,"df('12 Jul 2018,06:04',8,'12 Jul 2018,06:04');"
Textile unit owner arrested for rape,"df('12 Jul 2018,04:00',4,'12 Jul 2018,04:00');"
CBI charges BJP MLA Sengar and aide with rape of minor in Unnao,"df('12 Jul 2018,01:49',6,'12 Jul 2018,01:49');"
Seven-year-old raped in West Champaran village,"df('12 Jul 2018,01:00',10,'12 Jul 2018,01:00');"
